force,time,speed,gradtient,bw
1.81303116147309,272,12,0,60
1.94192634560906,237.5,15,0,60
1.91643059490085,217,18,0,60
2.1628895184136,200,21,0,60
2.16076487252125,195,24,0,60
1.79249291784703,249.5,12,5,60
1.92634560906516,249,15,5,60
1.91218130311615,242.5,18,5,60
1.98725212464589,201.5,21,5,60
2.04957507082153,177,24,5,60
1.85764872521246,255.5,12,10,60
2.0070821529745,248,15,10,60
1.91643059490085,230.5,18,10,60
2.02407932011331,213.5,21,10,60
1.97308781869688,196.5,24,10,60
1.91784702549575,275,12,15,60
2.0070821529745,248,15,15,60
1.96104815864023,223.5,18,15,60
1.96388101983003,214,21,15,60
2.04957507082153,191,24,15,60
2.11260623229462,283.5,12,0,80
2.19334277620397,255.5,15,0,80
2.25779036827195,233,18,0,80
2.27053824362606,227,21,0,80
2.27762039660057,200,24,0,80
2.13456090651558,279,12,5,80
2.19830028328612,259,15,5,80
2.29178470254957,259,18,5,80
2.28470254957507,226,21,5,80
2.26203966005666,198.5,24,5,80
2.15509915014164,275,12,10,80
2.22875354107649,264.5,15,10,80
2.27266288951841,259,18,10,80
2.27549575070821,225,21,10,80
NaN,NaN,24,10,80
2.20254957507082,285,12,15,80
2.18838526912181,271,15,15,80
2.27762039660057,265.5,18,15,80
2.2556657223796,234.5,21,15,80
2.24645892351275,198,24,15,80
2.26133144475921,295.5,12,0,100
2.37818696883853,261,15,0,100
2.51062322946176,245,18,0,100
2.48441926345609,237,21,0,100
2.43484419263456,199.5,24,0,100
2.2485835694051,304,12,5,100
2.47450424929179,304,15,5,100
2.48300283286119,259.5,18,5,100
2.50779036827195,250.5,21,5,100
2.45609065155807,203,24,5,100
2.29603399433428,293,12,10,100
2.48016997167139,291,15,10,100
2.48583569405099,283,18,10,100
2.4985835694051,235,21,10,100
2.41076487252125,198.5,24,10,100
2.30594900849858,297,12,15,100
2.36827195467422,281,15,15,100
2.43059490084986,247,18,15,100
2.3371104815864,221,21,15,100
2.41359773371105,207,24,15,100
1.88172804532578,254,12,-5,60
1.84702549575071,226.5,15,-5,60
1.85552407932011,266,12,-10,60
1.87960339943343,239,15,-10,60
1.93342776203966,266.5,12,-15,60
1.97733711048159,230,15,-15,60
2.06798866855524,275.5,12,-5,80
2.17988668555241,252.5,15,-5,80
2.07507082152974,271.5,12,-10,80
2.22521246458924,256,15,-10,80
2.08781869688385,271.5,12,-15,80
2.28966005665722,254.5,15,-15,80
2.30028328611898,282.5,12,-5,100
2.37677053824363,272,15,-5,100
2.28257790368272,285,12,-10,100
2.37677053824363,262,15,-10,100
2.2528328611898,285.5,12,-15,100
2.34560906515581,273,15,-15,100
2.05235602094241,208.5,12,0,60
2.07198952879581,181,15,0,60
1.85078534031414,168,18,0,60
2.13743455497382,156.5,21,0,60
2.17473821989529,159,24,0,60
1.95549738219895,212,12,5,60
1.93651832460733,195.5,15,5,60
1.84685863874346,164,18,5,60
2.04319371727749,163,21,5,60
2.15575916230366,147.5,24,5,60
1.72185863874346,202,12,10,60
2,141,15,10,60
1.75523560209424,185.5,18,10,60
1.97578534031414,165,21,10,60
2.12434554973822,156,24,10,60
1.82068062827225,220.5,12,15,60
1.87630890052356,211.5,15,15,60
1.96073298429319,185,18,15,60
1.99083769633508,162.5,21,15,60
2.1413612565445,150,24,15,60
2.16492146596859,214,12,0,80
2.1151832460733,207.5,15,0,80
2.22513089005236,182,18,0,80
2.43062827225131,172.5,21,0,80
2.62303664921466,155,24,0,80
1.99476439790576,217,12,5,80
2.2434554973822,197,15,5,80
2.18848167539267,179.5,18,5,80
2.24607329842932,169.5,21,5,80
2.47316753926702,150.5,24,5,80
1.92146596858639,219,12,10,80
2.04384816753927,212.5,15,10,80
2.16361256544503,179.5,18,10,80
2.17866492146597,188.5,21,10,80
2.125,174,24,10,80
1.92146596858639,236.5,12,15,80
2.05235602094241,219.5,15,15,80
2.1020942408377,192.5,18,15,80
2.0955497382199,180,21,15,80
2.20418848167539,157.5,24,15,80
2.21596858638743,228,12,0,100
2.39267015706806,210.5,15,0,100
2.45811518324607,191.5,18,0,100
2.4869109947644,177,21,0,100
2.78272251308901,162.5,24,0,100
2.17997382198953,236,12,5,100
2.24083769633508,204.5,15,5,100
2.37041884816754,188,18,5,100
2.50130890052356,185.5,21,5,100
2.4934554973822,154,24,5,100
2.10994764397906,241,12,10,100
2.18324607329843,224,15,10,100
2.22643979057592,183,18,10,100
2.44895287958115,178.5,21,10,100
2.42473821989529,168.5,24,10,100
2.07853403141361,248.5,12,15,100
2.25392670157068,210,15,15,100
2.18717277486911,201.5,18,15,100
2.2565445026178,174,21,15,100
2.40575916230366,166,24,15,100
1.65052356020942,205.5,12,-5,60
1.72513089005236,184.5,15,-5,60
1.95549738219895,210.5,12,-10,60
1.95222513089005,186.5,15,-10,60
2.02159685863874,206.5,12,-15,60
1.99149214659686,188,15,-15,60
1.90641361256545,232,12,-5,80
1.9738219895288,205,15,-5,80
2.04777486910995,219,12,-10,80
2.0261780104712,200,15,-10,80
2.03664921465969,212.5,12,-15,80
2.09358638743455,202.5,15,-15,80
2.14594240837696,239,12,-5,100
2.30039267015707,211.5,15,-5,100
2.25523560209424,229.5,12,-10,100
2.31609947643979,209,15,-10,100
2.27028795811518,227.5,12,-15,100
2.41099476439791,214,15,-15,100
1.73821989528796,212.5,12,0,60
1.69895287958115,196.5,15,0,60
1.87565445026178,178,18,0,60
1.75916230366492,167,21,0,60
1.81348167539267,153.5,24,0,60
1.64005235602094,217,12,5,60
1.73821989528796,196.5,15,5,60
1.8979057591623,187,18,5,60
1.72120418848168,163,21,5,60
1.92408376963351,160,24,5,60
1.66034031413613,231,12,10,60
1.80759162303665,200.5,15,10,60
1.69895287958115,186,18,10,60
1.80366492146597,163,21,10,60
1.84031413612565,159,24,10,60
1.68848167539267,243,12,15,60
1.71727748691099,225,15,15,60
1.67146596858639,185,18,15,60
1.80104712041885,177,21,15,60
1.80824607329843,161.5,24,15,60
1.99541884816754,218.5,12,0,80
2.04973821989529,221.5,15,0,80
2.03795811518325,194.5,18,0,80
2.10471204188482,182.5,21,0,80
2.14659685863874,173.5,24,0,80
2.0130890052356,238.5,12,5,80
2.07722513089005,232.5,15,5,80
2.00785340314136,200.5,18,5,80
2.10013089005236,184.5,21,5,80
2.0229057591623,167,24,5,80
1.87434554973822,240,12,10,80
2.00850785340314,229,15,10,80
1.94960732984293,200.5,18,10,80
1.95811518324607,181.5,21,10,80
2.07591623036649,157,24,10,80
NaN,NaN,12,15,80
2.01701570680628,215,15,15,80
2.06282722513089,199,18,15,80
2.09816753926702,179.5,21,15,80
2.05170157068063,170.5,24,15,80
2.06806282722513,255,12,0,100
2.18979057591623,223,15,0,100
2.26439790575916,195.5,18,0,100
2.30104712041885,192,21,0,100
2.27356020942408,168.5,24,0,100
2.06282722513089,236.5,12,5,100
2.17081151832461,225,15,5,100
2.2270942408377,207.5,18,5,100
2.32329842931937,180,21,5,100
2.29384816753927,173,24,5,100
2.07002617801047,242,12,10,100
2.11125654450262,225,15,10,100
2.22774869109948,205.5,18,10,100
2.22120418848168,179,21,10,100
2.12958115183246,165.5,24,10,100
2.03272251308901,235.5,12,15,100
2.17408376963351,229.5,15,15,100
2.18062827225131,206,18,15,100
2.31609947643979,189.5,21,15,100
2.29973821989529,165.5,24,15,100
1.65903141361257,227,12,-5,60
1.77094240837696,197.5,15,-5,60
1.68848167539267,217.5,12,-10,60
1.59162303664921,196.5,15,-10,60
1.72316753926702,232.5,12,-15,60
1.96073298429319,197.5,15,-15,60
1.83507853403141,245,12,-5,80
1.99738219895288,213.5,15,-5,80
1.96073298429319,225.5,12,-10,80
1.8717277486911,216,15,-10,80
2.08704188481675,205.5,12,-15,80
2.04777486910995,198.5,15,-15,80
2.09751308900524,244.5,12,-5,100
2.17015706806283,219,15,-5,100
2.09424083769634,233,12,-10,100
2.05628272251309,225.5,15,-10,100
2.15706806282722,224.5,12,-15,100
2.22643979057592,224,15,-15,100
1.60917312661499,231,12,0,60
1.69573643410853,222,15,0,60
1.76550387596899,190,18,0,60
1.77906976744186,179.5,21,0,60
1.86757105943152,158.5,24,0,60
1.62919896640827,185,12,5,60
1.71447028423773,200.5,15,5,60
1.81201550387597,206,18,5,60
1.83397932816537,164,21,5,60
1.78165374677003,159,24,5,60
1.51937984496124,210.5,12,10,60
1.84043927648579,227,15,10,60
1.89341085271318,181.5,18,10,60
1.86434108527132,176,21,10,60
1.77196382428941,147.5,24,10,60
1.71124031007752,232.5,12,15,60
1.79974160206718,215.5,15,15,60
1.82364341085271,204,18,15,60
1.77260981912145,172.5,21,15,60
1.93475452196382,179,24,15,60
1.91731266149871,245,12,0,80
2.1233850129199,210,15,0,80
2.21899224806202,197.5,18,0,80
2.12080103359173,194.5,21,0,80
2.24095607235142,182.5,24,0,80
2.04780361757106,226,12,5,80
2.09302325581395,222.5,15,5,80
2.20607235142119,225,18,5,80
2.05426356589147,170.5,21,5,80
2.15245478036176,170.5,24,5,80
1.86757105943152,238.5,12,10,80
2.13630490956072,222.5,15,10,80
2.25,212.5,18,10,80
2.20736434108527,193.5,21,10,80
2.16925064599483,181,24,10,80
1.97416020671835,240.5,12,15,80
2.17700258397933,203,15,15,80
2.18087855297158,202,18,15,80
2.17054263565892,172.5,21,15,80
2.20801033591731,170.5,24,15,80
2.1343669250646,255.5,12,0,100
2.34560723514212,214,15,0,100
2.42118863049096,198,18,0,100
2.35271317829457,184,21,0,100
2.52713178294574,185,24,0,100
2.06136950904393,254,12,5,100
2.31136950904393,231,15,5,100
2.40051679586563,205.5,18,5,100
NaN,182,21,5,100
2.38049095607235,174.5,24,5,100
2.28940568475452,215,12,10,100
2.33462532299742,212,15,10,100
2.3656330749354,209,18,10,100
2.33656330749354,178.5,21,10,100
2.33720930232558,183,24,10,100
1.97932816537468,249,12,15,100
2.42377260981912,217,15,15,100
2.31136950904393,213.5,18,15,100
2.36886304909561,205,21,15,100
2.34366925064599,197,24,15,100
1.5297157622739,223,12,-5,60
1.63630490956072,200,15,-5,60
1.64922480620155,213.5,12,-10,60
1.71382428940568,190.5,15,-10,60
1.81459948320413,217,12,-15,60
1.86304909560724,208.5,15,-15,60
2.05297157622739,226,12,-5,80
2.02131782945736,212.5,15,-5,80
2.10529715762274,235.5,12,-10,80
2.19832041343669,204.5,15,-10,80
2.0859173126615,224.5,12,-15,80
2.13953488372093,201,15,-15,80
2.30361757105943,241.5,12,-5,100
2.36175710594315,206,15,-5,100
2.27583979328165,240,12,-10,100
2.44832041343669,201.5,15,-10,100
2.38565891472868,242,12,-15,100
NaN,NaN,15,-15,100
1.7261744966443,226,12,0,60
1.71006711409396,201.5,15,0,60
1.84832214765101,182.5,18,0,60
2.03422818791946,184,21,0,60
2.30738255033557,175.5,24,0,60
1.8261744966443,250.5,12,5,60
1.7496644295302,211.5,15,5,60
2.19865771812081,181.5,18,5,60
2.16174496644295,195.5,21,5,60
2.38859060402685,174.5,24,5,60
1.75637583892617,246.5,12,10,60
1.91543624161074,209.5,15,10,60
1.81476510067114,178,18,10,60
1.94026845637584,174.5,21,10,60
2.10134228187919,181.5,24,10,60
1.84630872483221,240,12,15,60
1.80939597315436,213.5,15,15,60
1.8758389261745,215,18,15,60
1.93892617449664,198.5,21,15,60
1.97785234899329,179.5,24,15,60
2.05302013422819,248.5,12,0,80
2.16845637583893,214,15,0,80
2.2496644295302,188,18,0,80
2.41342281879195,208.5,21,0,80
2.13959731543624,155.5,24,0,80
2.06644295302013,260.5,12,5,80
2.11812080536913,233.5,15,5,80
2.40939597315436,234,18,5,80
2.62214765100671,209.5,21,5,80
2.74832214765101,182.5,24,5,80
2.11006711409396,248.5,12,10,80
2.11543624161074,215.5,15,10,80
2.34765100671141,220.5,18,10,80
2.40268456375839,187.5,21,10,80
2.40872483221476,180,24,10,80
2.14295302013423,244,12,15,80
2.15906040268456,226,15,15,80
2.19664429530201,209,18,15,80
2.08523489932886,183.5,21,15,80
2.2993288590604,198.5,24,15,80
2.30805369127517,249.5,12,0,100
2.46174496644295,223.5,15,0,100
2.48859060402685,199,18,0,100
2.6510067114094,201,21,0,100
2.68322147651007,169,24,0,100
2.20335570469799,250.5,12,5,100
2.35167785234899,233.5,15,5,100
2.39060402684564,219,18,5,100
2.33959731543624,196.5,21,5,100
2.70536912751678,196.5,24,5,100
2.29530201342282,253.5,12,10,100
2.37919463087248,265,15,10,100
2.21744966442953,208,18,10,100
2.35167785234899,193.5,21,10,100
2.56778523489933,177.5,24,10,100
2.15637583892617,273,12,15,100
2.37046979865772,249,15,15,100
2.41208053691275,228,18,15,100
2.2744966442953,192.5,21,15,100
2.44161073825503,179.5,24,15,100
1.74228187919463,221,12,-5,60
1.86979865771812,203.5,15,-5,60
1.77315436241611,230,12,-10,60
2.11812080536913,193.5,15,-10,60
1.97046979865772,224,12,-15,60
2.24093959731544,200,15,-15,60
2.01073825503356,248.5,12,-5,80
2.20201342281879,214.5,15,-5,80
2.1006711409396,247,12,-10,80
2.29798657718121,226.5,15,-10,80
2.20939597315436,242.5,12,-15,80
2.42147651006711,219,15,-15,80
2.41476510067114,236.5,12,-5,100
2.30134228187919,243,15,-5,100
2.34697986577181,245,12,-10,100
2.63221476510067,216.5,15,-10,100
2.36040268456376,243.5,12,-15,100
2.61879194630872,215.5,15,-15,100
1.82483370288248,209.5,12,0,60
1.85310421286031,195,15,0,60
1.98835920177384,175,18,0,60
2.15410199556541,156,21,0,60
2.09090909090909,138.5,24,0,60
1.79212860310421,241,12,5,60
1.95066518847007,192.5,15,5,60
1.97893569844789,185,18,5,60
1.88747228381375,168.5,21,5,60
2.07317073170732,143.5,24,5,60
1.82594235033259,235.5,12,10,60
1.93680709534368,211.5,15,10,60
1.9079822616408,184,18,10,60
1.9490022172949,171,21,10,60
2.05654101995565,159.5,24,10,60
1.86973392461197,235,12,15,60
1.95232815964523,205.5,15,15,60
1.95121951219512,191,18,15,60
2.019955654102,170.5,21,15,60
2.0659645232816,153.5,24,15,60
1.98780487804878,242,12,0,80
2.19623059866962,219,15,0,80
2.24667405764967,188,18,0,80
2.28159645232816,181.5,21,0,80
2.40853658536585,155,24,0,80
2.10254988913525,231,12,5,80
2.17405764966741,219,15,5,80
2.22782705099778,201.5,18,5,80
2.21840354767184,179.5,21,5,80
2.40354767184035,164,24,5,80
2.07594235033259,245,12,10,80
2.18625277161863,225,15,10,80
2.23059866962306,187.5,18,10,80
2.21729490022173,182.5,21,10,80
2.34257206208426,164.5,24,10,80
2.08592017738359,241,12,15,80
2.12860310421286,221.5,15,15,80
2.23115299334812,201.5,18,15,80
2.18348115299335,177.5,21,15,80
2.25110864745011,168,24,15,80
2.22838137472284,249,12,0,100
2.33314855875831,228.5,15,0,100
2.37694013303769,207.5,18,0,100
2.37583148558758,188.5,21,0,100
2.67017738359202,160.5,24,0,100
2.34589800443459,247.5,12,5,100
2.33536585365854,220.5,15,5,100
2.47450110864745,202.5,18,5,100
2.46341463414634,190.5,21,5,100
2.52106430155211,170,24,5,100
2.2089800443459,260,12,10,100
2.31818181818182,226.5,15,10,100
2.34534368070953,207.5,18,10,100
2.48059866962306,189.5,21,10,100
2.42793791574279,174.5,24,10,100
2.19013303769401,258.5,12,15,100
2.29268292682927,225.5,15,15,100
2.3980044345898,206.5,18,15,100
2.4490022172949,195.5,21,15,100
2.49168514412417,172,24,15,100
1.74390243902439,231,12,-5,60
1.80654101995565,194.5,15,-5,60
1.82150776053215,215,12,-10,60
1.83758314855876,196.5,15,-10,60
1.88913525498891,210.5,12,-15,60
1.86917960088692,200,15,-15,60
2.05654101995565,229,12,-5,80
2.19512195121951,204,15,-5,80
2.03547671840355,238,12,-10,80
2.15964523281596,210,15,-10,80
2.13968957871397,228,12,-15,80
2.21507760532151,210.5,15,-15,80
2.269955654102,248,12,-5,100
2.32427937915743,222.5,15,-5,100
2.12305986696231,263.5,12,-10,100
2.26718403547672,233.5,15,-10,100
2.11751662971175,232.5,12,-15,100
2.28713968957871,235.5,15,-15,100
1.56818181818182,316,12,0,60
1.84478935698448,258,15,0,60
1.6679600886918,205.5,18,0,60
1.72727272727273,200,21,0,60
1.68292682926829,206,24,0,60
1.67738359201774,294.5,12,5,60
1.79878048780488,273,15,5,60
1.8109756097561,184,18,5,60
1.69068736141907,193,21,5,60
1.75332594235033,184,24,5,60
1.73337028824834,251.5,12,10,60
1.69068736141907,228,15,10,60
1.74445676274945,233.5,18,10,60
1.65410199556541,201.5,21,10,60
1.73115299334812,203.5,24,10,60
1.67960088691796,272.5,12,15,60
1.72893569844789,250,15,15,60
1.70842572062084,230,18,15,60
1.7139689578714,223.5,21,15,60
1.65022172949002,184.5,24,15,60
1.92184035476718,249,12,0,80
1.9850332594235,260.5,15,0,80
1.93458980044346,239,18,0,80
1.86474501108647,189.5,21,0,80
1.95953436807095,233,24,0,80
1.86363636363636,270.5,12,5,80
2.009977827051,245.5,15,5,80
2.01219512195122,222,18,5,80
1.88359201773836,231,21,5,80
1.92627494456763,212,24,5,80
1.92350332594235,307.5,12,10,80
1.70565410199557,293.5,15,10,80
1.93181818181818,231.5,18,10,80
1.90022172949002,221.5,21,10,80
1.94678492239468,220,24,10,80
1.89911308203991,276,12,15,80
1.93514412416851,263.5,15,15,80
1.9490022172949,249.5,18,15,80
1.94512195121951,217.5,21,15,80
1.91574279379157,240.5,24,15,80
2.06707317073171,NaN,12,0,100
2.26108647450111,266.5,15,0,100
2.22006651884701,237,18,0,100
2.15687361419069,250,21,0,100
2.21674057649667,211,24,0,100
2.09257206208426,283,12,5,100
2.07871396895787,271.5,15,5,100
2.18957871396896,243.5,18,5,100
2.17405764966741,242,21,5,100
2.13414634146341,216.5,24,5,100
2.05709534368071,296,12,10,100
2.04878048780488,272,15,10,100
2.05986696230599,251.5,18,10,100
2.08314855875831,203.5,21,10,100
2.11141906873614,216.5,24,10,100
2.0509977827051,298.5,12,15,100
2.05321507760532,254,15,15,100
2.0970066518847,243.5,18,15,100
2.04988913525499,221,21,15,100
2.05875831485588,199,24,15,100
1.7039911308204,227.5,12,-5,60
1.72949002217295,224.5,15,-5,60
1.6790465631929,280,12,-10,60
1.68126385809313,215.5,15,-10,60
1.70066518847007,247.5,12,-15,60
1.77937915742794,227,15,-15,60
1.90909090909091,NaN,12,-5,80
1.97505543237251,255,15,-5,80
2.00443458980044,244.5,12,-10,80
1.98780487804878,262.5,15,-10,80
1.95731707317073,302,12,-15,80
2.07372505543237,245.5,15,-15,80
2.09866962305987,297.5,12,-5,100
2.12749445676275,265.5,15,-5,100
2.00776053215078,277.5,12,-10,100
2.20177383592018,274.5,15,-10,100
2.1990022172949,277,12,-15,100
2.19179600886918,263.5,15,-15,100
1.4745145631068,220,12,0,60
1.56553398058252,193.5,15,0,60
1.73543689320388,166.5,18,0,60
1.66868932038835,158.5,21,0,60
1.71359223300971,138.5,24,0,60
1.47148058252427,209.5,12,5,60
1.47754854368932,188.5,15,5,60
1.73847087378641,176.5,18,5,60
1.70388349514563,157.5,21,5,60
1.59587378640777,135,24,5,60
1.52912621359223,217.5,12,10,60
1.58070388349515,200.5,15,10,60
1.63834951456311,177,18,10,60
1.70206310679612,161.5,21,10,60
1.75,144.5,24,10,60
1.48968446601942,234,12,15,60
1.5625,201.5,15,15,60
1.6868932038835,183.5,18,15,60
1.69417475728155,155,21,15,60
1.60800970873786,147,24,15,60
1.65351941747573,231.5,12,0,80
1.83009708737864,197,15,0,80
2.02366504854369,180.5,18,0,80
1.9126213592233,160.5,21,0,80
1.9253640776699,151.5,24,0,80
1.68385922330097,238,12,5,80
1.83252427184466,204,15,5,80
1.84162621359223,181,18,5,80
1.96905339805825,165.5,21,5,80
1.94902912621359,141.5,24,5,80
1.70206310679612,228.5,12,10,80
1.81735436893204,211,15,10,80
1.88046116504854,189,18,10,80
1.95995145631068,170,21,10,80
1.98543689320388,145.5,24,10,80
1.73240291262136,233,12,15,80
1.84466019417476,201.5,15,15,80
1.92657766990291,190,18,15,80
1.8871359223301,161,21,15,80
1.9126213592233,138.5,24,15,80
1.89927184466019,236,12,0,100
1.81735436893204,229,15,0,100
2.13228155339806,192.5,18,0,100
2.16019417475728,176.5,21,0,100
2.21480582524272,147.5,24,0,100
1.87682038834951,243.5,12,5,100
2.04490291262136,259,15,5,100
2.12682038834951,188.5,18,5,100
2.12985436893204,173,21,5,100
2.09708737864078,149,24,5,100
1.89927184466019,240.5,12,10,100
1.95691747572816,210,15,10,100
2.0995145631068,192,18,10,100
2.06917475728155,158.5,21,10,100
2.10194174757282,149.5,24,10,100
1.84769417475728,239,12,15,100
1.93567961165049,218.5,15,15,100
2.04490291262136,191.5,18,15,100
2.02669902912621,167,21,15,100
2.08495145631068,150.5,24,15,100
1.54308252427184,212,12,-5,60
1.61771844660194,186,15,-5,60
1.48543689320388,215.5,12,-10,60
1.68446601941748,181.5,15,-10,60
1.74150485436893,205,12,-15,60
1.6868932038835,185.5,15,-15,60
1.68446601941748,220,12,-5,80
1.82827669902913,197.5,15,-5,80
1.68871359223301,220.5,12,-10,80
1.83009708737864,191.5,15,-10,80
1.68932038834951,218.5,12,-15,80
1.90837378640777,190.5,15,-15,80
1.86407766990291,236.5,12,-5,100
2.05097087378641,201,15,-5,100
1.93446601941748,225,12,-10,100
2.0873786407767,207,15,-10,100
1.93628640776699,213.5,12,-15,100
2.02791262135922,194,15,-15,100
1.75714285714286,245.5,12,0,60
1.84149659863946,238,15,0,60
2.04013605442177,231,18,0,60
2.02517006802721,208,21,0,60
2.25850340136054,183,24,0,60
1.75986394557823,254,12,5,60
1.77687074829932,235.5,15,5,60
1.87278911564626,216.5,18,5,60
1.9047619047619,187.5,21,5,60
2.22993197278912,187.5,24,5,60
1.81632653061224,251.5,12,10,60
1.56462585034014,246,15,10,60
1.8843537414966,228,18,10,60
1.82585034013605,207,21,10,60
1.94013605442177,220,24,10,60
1.87210884353741,260.5,12,15,60
1.77074829931973,269,15,15,60
1.93197278911565,220,18,15,60
2.01360544217687,219.5,21,15,60
1.97482993197279,200.5,24,15,60
1.99455782312925,272,12,0,80
2.03197278911565,236,15,0,80
2.17278911564626,218,18,0,80
2.25986394557823,219.5,21,0,80
2.38775510204082,193.5,24,0,80
2.03877551020408,268,12,5,80
2.05170068027211,203.5,15,5,80
2.17142857142857,243,18,5,80
2.20544217687075,195.5,21,5,80
2.2734693877551,200,24,5,80
2.02857142857143,282.5,12,10,80
2.17142857142857,245,15,10,80
2.21224489795918,219,18,10,80
2.19795918367347,241.5,21,10,80
2.28027210884354,228,24,10,80
2.00408163265306,269.5,12,15,80
2.2108843537415,246,15,15,80
2.26394557823129,232,18,15,80
2.24761904761905,204,21,15,80
2.28367346938775,222,24,15,80
1.85102040816327,297,12,0,100
2.35238095238095,251,15,0,100
2.40952380952381,272,18,0,100
2.44353741496599,203.5,21,0,100
2.4687074829932,209,24,0,100
2.19047619047619,278,12,5,100
2.25442176870748,248.5,15,5,100
2.36462585034014,222,18,5,100
2.52721088435374,239.5,21,5,100
2.53809523809524,229.5,24,5,100
2.17823129251701,261,12,10,100
2.37823129251701,243,15,10,100
2.49115646258503,223,18,10,100
2.45714285714286,218.5,21,10,100
2.53605442176871,236.5,24,10,100
2.16190476190476,270.5,12,15,100
2.42925170068027,254,15,15,100
2.44149659863946,222,18,15,100
2.51700680272109,212.5,21,15,100
2.52380952380952,215.5,24,15,100
1.39931972789116,294,12,-5,60
1.79931972789116,211.5,15,-5,60
1.74965986394558,261,12,-10,60
1.83469387755102,242,15,-10,60
1.7687074829932,263.5,12,-15,60
1.9469387755102,278.5,15,-15,60
1.92993197278912,267.5,12,-5,80
2.03741496598639,263.5,15,-5,80
2.00068027210884,258.5,12,-10,80
1.94965986394558,250.5,15,-10,80
1.93877551020408,259.5,12,-15,80
1.85034013605442,271,15,-15,80
2.10544217687075,258.5,12,-5,100
2.15578231292517,250,15,-5,100
2.20680272108844,253,12,-10,100
2.22789115646258,254.5,15,-10,100
2.04761904761905,250,12,-15,100
2.27142857142857,240.5,15,-15,100
1.59337748344371,208,12,0,60
1.68145695364238,193,15,0,60
1.70066225165563,178,18,0,60
1.69668874172185,161,21,0,60
1.79602649006623,147,24,0,60
1.57880794701987,217.5,12,5,60
1.60794701986755,194,15,5,60
1.63576158940397,181,18,5,60
2.1158940397351,130,21,5,60
1.80794701986755,147,24,5,60
1.61059602649007,214.5,12,10,60
1.65562913907285,195,15,10,60
1.68741721854305,186.5,18,10,60
1.63443708609272,162.5,21,10,60
1.74569536423841,145.5,24,10,60
1.61192052980132,218.5,12,15,60
1.6476821192053,202,15,15,60
1.6476821192053,191,18,15,60
1.60397350993377,164,21,15,60
1.7682119205298,162.5,24,15,60
1.80397350993377,226,12,0,80
1.88940397350993,206,15,0,80
1.94437086092715,191,18,0,80
1.96622516556291,176.5,21,0,80
2.19602649006623,159,24,0,80
1.81986754966887,227.5,12,5,80
1.91324503311258,206.5,15,5,80
1.97086092715232,196,18,5,80
1.96887417218543,181,21,5,80
2.19205298013245,167.5,24,5,80
1.82715231788079,232.5,12,10,80
1.88079470198675,214.5,15,10,80
1.94437086092715,189.5,18,10,80
1.96092715231788,174.5,21,10,80
2.05099337748344,163,24,10,80
1.79271523178808,235,12,15,80
1.84900662251656,217.5,15,15,80
1.91456953642384,201,18,15,80
1.90596026490066,177.5,21,15,80
2.02119205298013,168,24,15,80
2.00662251655629,234,12,0,100
2.06754966887417,217,15,0,100
2.15099337748344,203,18,0,100
2.20596026490066,188.5,21,0,100
2.36953642384106,177.5,24,0,100
1.97814569536424,236,12,5,100
2.10066225165563,218.5,15,5,100
2.12516556291391,206,18,5,100
2.12251655629139,178,21,5,100
2.35761589403974,167,24,5,100
2.02516556291391,249.5,12,10,100
2.03046357615894,220,15,10,100
2.16158940397351,200.5,18,10,100
2.11523178807947,184,21,10,100
2.25033112582781,171.5,24,10,100
1.92185430463576,246,12,15,100
2.05099337748344,220,15,15,100
2.06887417218543,201.5,18,15,100
2.05562913907285,174,21,15,100
2.21655629139073,187,24,15,100
1.66423841059603,200.5,12,-5,60
1.72913907284768,188,15,-5,60
1.71390728476821,208.5,12,-10,60
NaN,185,15,-10,60
1.80529801324503,199.5,12,-15,60
1.77615894039735,193,15,-15,60
1.84966887417219,219,12,-5,80
1.97218543046358,201.5,15,-5,80
1.94172185430464,213,12,-10,80
2.02781456953642,201.5,15,-10,80
1.96026490066225,222.5,12,-15,80
2.08609271523179,208.5,15,-15,80
2.02516556291391,239,12,-5,100
2.17814569536424,212.5,15,-5,100
2.07152317880795,233.5,12,-10,100
2.13907284768212,214,15,-10,100
2.18079470198676,225,12,-15,100
2.16291390728477,220.5,15,-15,100
